Secondary Name,Primary Name
רב אמי(5822),רבי אמי(495)
רבי אמי בר אהבה(504),רבי אמי(495)
רבי מימר(2081),רבי אמי(495)
רבי מי(10128),רבי אמי(495)
רבמי(2656),רבי אמי(495)
רבי חנינא בר סיסיי(1266),רבי אנינייא(527)
רבי עניני בר נחשון(2451),רבי אנינייא(527)
רבי ענני בר ששון(2461),רבי אנינייא(527)
רבי איסת(384),רבי אסי(535)
רבי אסא(529),רבי אסי(535)
רב יאסי(1384),רבי אסי(535)
רב יסי(10095),רבי אסי(535)
רבי יסא בי רבי שבתי(1732),רבי אסי(535)
רבסי(2659),רבי אסי(535)
רבי יוסי בר נתן(1717),רב אסי בר נתן(547)
אסא בן עקיבה(531),רבי איסי בן עקיבא(548)
איסי בן גור אריה(537),רבי איסי בן עקיבא(548)
איסי בן גמליאל(538),רבי איסי בן עקיבא(548)
איסי בן יהודה(543),רבי איסי בן עקיבא(548)
איסי בן מהללאל(544),רבי איסי בן עקיבא(548)
רבי יוסי בן עקיבה(1720),רבי איסי בן עקיבא(548)
יוסי הבבלי(1741),רבי איסי בן עקיבא(548)
יוסף איש הוצל(1766),רבי איסי בן עקיבא(548)
יוסף הבבלי(1785),רבי איסי בן עקיבא(548)
רב יוסי מנהרביל(1754),רב אסי מנהרביל(552)
סופיינוס(2362),אספסיינוס(553)
פטרוקי(2483),רבי אפטוריקי(555)
רבי נתן דרומה(2354),רבי אפס(557)
רבי פס(2517),רבי אפס(557)
אפרים(10065),אפרים ספרא(558)
ארטיקנס(563),ארסקינס(569)
רבי אשי(21702),רב אשי(571)
רבי שיין(2718),רבי אשיאן(575)
רבי אשיאן בר נגרי(576),אשייאן נגרא(579)
רב אחי(319),רב אתי(581)
בן בונייס(10066),בונייס בן בונייס(592)
באטי בר טובי(583),בטי בר טוביה(594)
רבי ביבי בר אבא(601),רבי ביבי רבה(606)
רבי טריי(1382),רבי בירא(620)
רבי מריי(2193),רבי בירא(620)
רבי קוריייס(2555),רבי בירא(620)
בן אנטינוס(10069),בן אטיטס(626)
בן אנטיגנוס(629),בן אטיטס(626)
חזקיה בן אטיטס(1079),בן אטיטס(626)
בר אלעשא(715),בן אלעשה(628)
בן בטיח(10070),בן אבטיח(635)
בר הי הי(724),בן הא הא(645)
בר כוזבא(740),בן כוזבא(658)
כלבא שבוע(2025),בן כלבא שבוע(659)
בר ניצור(753),בן נצר(665)
בר סירא(757),בן סירא(667)
בית ציצת הכסת(2550),בן ציצית הכסת(675)
בית קמצר(2565),בן קמצר(680)
מניומי אסיא(2128),בנימין אסיא(693)
רבי יהושע ברבי בנימין בר לוי(1535),רבי בנימין בר לוי(696)
בר אובא(713),בר אבין(708)
בר אבוה(704),בר חבו(730)
רב נתן בר אסיא(2342),בר נתן אסיא(754)
בי סלוני(2379),בר סילני(755)
עדי טייעא(2400),בר עדי טייעא(759)
בן פדייא(669),בר פדא(763)
יהודה בן פדיה(1472),בר פדא(763)
פדיה(2477),בר פדא(763)
רב שפיר(2933),בר שפיר(779)
בר דליה(720),ברדלא(783)
רבי ברכיה ברבי סימון(794),רבי ברכיה(792)
רבי ברכיה הכהן(10071),רבי ברכיה הכהן ברבי(795)
תימטינים(2965),ברתיה דדמיטינוס(798)
גביעה בן קוסם(807),גביהא בן פסיסא(801)
רבי גדולה(809),רב גידל(820)
רב גידל דמן נרש(824),רב גידל בר מנשיא(823)
רבן גמליאל(10073),רבן גמליאל דיבנה(829)
רבי ינאי ברבי(1822),רבן גמליאל בר רבי(830)
קסגלגס(2567),גסקלס(843)
רבי יוסי בר ממל(1714),רבי דוסא ממלחיא(854)
אבוה דרבי אפטוריקי(101),דוסתאי אבוה דרבי אפטוריקי(856)
רבי יהודה בן דוסתאי(1435),רבי דוסתאי בן יהודה(858)
רבי דוסתאי(10075),רבי דוסתאי דמן בירי(861)
רב אבודמא נחותא(88),רב דימי(867)
רב דימי בריה דרב נחמן בריה דרב יוסף(877),רב דימי בריה דרב נחמיה בריה דרב יוסף(876)
לוליינוס מלכא(2055),דיקליטיאנוס(883)
ליטינס(2059),דיקליטיאנוס(883)
חנינא חייטא(1288),דניאל חייטא(886)
רבי הונא(21781),רב הונא(895)
הונא(5004),רב הונא(895)
רבי חונה(10077),רבי חונה הונא(897)
רבי חונא בר יוסף(919),רבי חונה הונא(897)
רבי הונא הכהן(937),רבי חונה הונא(897)
רב הונא מר בר אויא(940),רב הונא בר אויא(900)
רב הונא בר ירמיה(921),רב הונא בר חייא(911)
רב חננא בר חייא(1246),רב הונא בר חייא(911)
רב חנא בר יהודה(1195),רב הונא בר יהודה(917)
רב הונא בריה דרב הושעיא(910),רב הונא בריה דרב יהושע(918)
רב חיננא בריה דרבי יהושע(1253),רב הונא בריה דרב יהושע(918)
רב יהודה בריה דרב יהושע(1451),רב הונא בריה דרב יהושע(918)
רב הונ בריה דרב נחמן(10078),רב הונא בריה דרב נחמן(926)
רב כהנא בריה דרב נתן(2017),רב הונא בריה דרב נתן(927)
רב הונא בר נחמיה(925),רב הונא מר בריה דרב נחמיה(943)
רב הונא ציפוראה(946),רבי חונה רבה דציפורין(947)
רבי חנא ציפוראה(1200),רבי חונה רבה דציפורין(947)
בר הינק(725),רב הינק(962)
הלל הזקן(20377),הלל(965)
רבי אילס(365),רבי הלל בריה דרבי וולס(971)
רבי ליל בי רבי אלם(2061),רבי הלל בריה דרבי וולס(971)
רבי לא דכפרא(2029),רבי הלל דכיפרא(974)
בר רב זביד(727),רב זביד אבוה דרבי שמעון בר זביד(994)
מר זוטרא בר טוביא(5830),רב זוטרא בר טוביא(1006)
רב זוטרא בר טוביה(5832),רב זוטרא בר טוביא(1006)
זונין הממונה(1011),רבי זינון החזן(1016)
רבי לעזר זעירה(10064),רבי זירא(1017)
רבי אלעזר זעירה(488),רבי זירא(1017)
רבי זעירא בר אבינא(1041),רבי זירא(1017)
רבי אלכסנדריה(416),רבי זכאי דאלכסנדריאה(1023)
רבי זכיי דכבול(10081),רבי זכיי דמןכבול(1024)
רבי זבדיה חתניה דרבי לוי(991),רבי זכריה חתניה דרבי לוי(1033)
רב חביבא(10082),רב חביבא מסורא דפרת(1051)
רב חנינא מסורא דפרת(1291),רב חביבא מסורא דפרת(1051)
רבי חידקא(21841),רבי חדקא(1060)
רבי חנינא דברת חוורן(1284),רבי חוניא דברת חוורן(1070)
רבי נחוניא איש בקעת בית חורתן(2256),רבי חוניא דברת חוורן(1070)
חזקיה(10084),חזקיה בן רבי חייא(1075)
יחזקיה(1798),חזקיה בן רבי חייא(1075)
רבי חזקיה בר יעקב בר אחא(1081),רבי חזקיה(1076)
רבי חזקיה בר ירמיה(1082),רבי חזקיה(1076)
רב חייא(20951),רבי חייא רובה(1088)
רבי חייא(10085),רבי חייא רובה(1088)
רבי חייא בר רבי(1130),רבי חייא רובה(1088)
רבי אחייה בר אבא(330),רבי חייא בר אבא(1091)
רבי זירא בר אדא(1019),רבי חייא בר אבא(1091)
רב חייא בר אבין(5821),רבי חייא בר אבין(1094)
רבי חייא בריה דרבי אבא דיפו(1092),רבי חייא בריה דרבי אדא דיפו(1097)
רב חייא בריה דרב איקא(1100),רב חייא בריה דרב אויא(1098)
רבי חייא בר אשי(5824),רב חייא בר אשי(1102)
רב חמא בר אשי(1171),רב חייא בר אשי(1102)
רבי חייא בר יוסף(5823),רב חייא בר יוסף(1113)
רב חייא בר רב מתנה(1119),חייא בר רב(1127)
רב חייא בריה דרב חייא בר נחמני(1109),רב חייא בריה דרבה בר נחמני(1129)
רבי חלבו בר חנן(1147),רבי חלבו(1146)
אבא בר חילפיי בר קרייה(35),אבא חלפי בן קרויא(1151)
אבא חליפא קרויא(1148),אבא חלפי בן קרויא(1151)
רבי תחליפא בר שאול(2958),רבי חלפתא בן שאול(1155)
רבי חמא אבי בר קפרא(1166),רבי חמא בר ביסא(1173)
רבי חמא אבוה דרבי הושעיא(1167),רבי חמא בר ביסא(1173)
רבי חייא בר גוריא(1104),רב חמא בר גוריא(1175)
רב נחמן בר גוריא(2293),רב חמא בר גוריא(1175)
רבי חמא ברבי חנינא(21952),רבי חמא בר חנינא(1176)
רבי סמא ברבי חנינא(2386),רבי חמא בר חנינא(1176)
רבי חנינא בר יוסף(1255),רבי חמא בר יוסי(1178)
רבי אמי בר עוקבה(509),רבי חמא בר עוקבא(1179)
רב אחא בר ביזנא(274),רב חנא בר ביזנא(1192)
רב הונא בר ביזנא(906),רב חנא בר ביזנא(1192)
רב אחא בר רב קטינא(295),רב חנא בר קטינא(1197)
רב הונא בר רב קטינא(933),רב חנא בר קטינא(1197)
רב חנא בר חיננא(1193),רב חנא בר קטינא(1197)
רב חנינא בר רב קטינא(1276),רב חנא בר קטינא(1197)
רב חנן בר רב קטינא(1326),רב חנא בר קטינא(1197)
רבי חנא שאינה(1202),רבי חנא בר שאינה(1198)
רב אחא קרטיגנא(308),רב חנא קרטיגנא(1201)
חיננא קרתינגאה(1296),רב חנא קרטיגנא(1201)
רב חנן קרטיגנאה(1338),רב חנא קרטיגנא(1201)
רב הונא בר אידי(902),רב חנילאי בר אידי(1206)
רב נהילאי בר אידי(2236),רב חנילאי בר אידי(1206)
חנניא(10087),חנניא אחי רב שמואל בר אידי(1210)
רבי חנינא(10088),רבי חנינא בר חמא(1212)
רבי אוניה(234),רב חנינא חברון דרבנין(1213)
רב חנינא(10089),רב חנינא חברון דרבנין(1213)
רבי חנינן(1299),רב חנינא חברון דרבנין(1213)
חנניה(5813),רבי חנינא דציפורין(1214)
רבי חיננה(10091),רבי חיננה אביו של בר ישיטא(1216)
רבי חנינה(10092),רבי חנינה אחיו של רבי מנא(1218)
רב חיננא בר אביי(1224),רב חנינא בר אבין(1225)
רב חנניה אחוי דרב הושעיה(1217),רב חנניה בר אחוי דרב הושעיה(1228)
חנניה בן אחי יאשיה(1229),חנניה בן אחי רבי יהושע(1230)
רב נחמן בריה דרב איקא(2290),רב חנינא בריה דרב איקא(1235)
רבי חנניה בריה דרבי יסא(1256),רבי חיננא בריה דרבי אסי(1238)
רבי חנניה בן חזקיה(10093),רבי חנניה בן חזקיה בן גרון(1245)
בן חכינאי(652),רבי חנניה בן חכינאי(1247)
רבי חנניה בן כינאי(1262),רבי חנניה בן חכינאי(1247)
חנינא בן עכינאי(1271),רבי חנניה בן חכינאי(1247)
רבי חנניה בן נכוסא(1265),רבי חנניה בן חלניסי(1248)
רבי יצחק חיננא בר יצחק(1938),רבי חננא בר יצחק(1258)
רבי חנינה בן ברוקה(1241),רבי חנינא בר יקא(1259)
רבי חנינה ברוקא(1283),רבי חנינא בר יקא(1259)
רבי חנינא בריה דרבי כהיי(1260),רבי חננה בריה דרבי כיריי(1263)
רבי חונא ברבי סימון(929),רבי חננא בר סנסן(1267)
רבי חנינה בן יעקב(1257),רבי חנינא בן עקיבא(1272)
רב חנן בר פזי(1322),רבי חנינה בן פזי(1274)
רבי יוחנן בן פזי(1596),רבי חנינה בן פזי(1274)
רב הונא בר פפא(932),רבי חנינא בר פפא(1275)
רב חמא בר פפא(1180),רבי חנינא בר פפא(1275)
רבי חנין בר פפא(1325),רבי חנינא בר פפא(1275)
רב חננאל בר פפא(1340),רבי חנינא בר פפא(1275)
רב המנונא בריה דרבא מפשרוניא(980),רב חיננא בריה דרבא מפשרוניא(1277)
רב הונא מסורא(939),רב חנינא מסורא(1290)
אבא חנון(1204),אבא חנין(1301)
רבי חנין(21960),רב חנין(1305)
אנן ברבי אימי(528),רב חנן בר אמי(1314)
רב חנין בר אשי(1316),רב חנן בר אמי(1314)
רב חנין בר אביי(1312),רבי חנן בר אמי(1315)
רב נחמן בר אמי(2291),רבי חנן בר אמי(1315)
רבי נתן בריה דרבי ברכיה(2343),רבי חנן בריה דרבי ברכיה בוצריה(1317)
רבי חנן בן פיטום(1323),חנן בן פנחס(1324)
רב חנן חתניה דרב(1304),רב חנן בר רבא(1327)
רב חנן בר אבא(1311),רב חנן בר רבא(1327)
רבי נחמן בר אבא(2286),רב חנן בר רבא(1327)
רב ענן בר רבא(2458),רב חנן בר רבא(1327)
רב נחמן מנהרדעא(2303),רב חנן מנהרדעא(1337)
חסדא(5005),רב חסדא(1345)
טבי רישבא(1356),טבות רישבא(1352)
רבי טובי(1363),רבי טבי(1354)
רב אמי בר מתנה(508),רב טובי בר מתנה(1364)
רב טובי בריה דרב נחמיה(1365),רב טובי בר מתנה(1364)
רב טביומי בר קיסנא(1360),רב טובי בר קיסנא(1367)
רב טובי בר רב קטינא(1366),רב טובי בר קיסנא(1367)
רבי טיופה סמוקא(1377),רבי טייפה סמוקה(1379)
יוסף בן קמחית(1763),יהודה בן קמחית(1393)
רב יהודה(10096),רב יהודה בר יחזקאל(1394)
רבי יהודה(10097),רבי יהודה ברבי אילעאי(1395)
רבי יודן בריה דרבי(10098),רבי יודן(1396)
רבי יודן בריה דרבי אייבו(1414),רבי יודן(1396)
רבי יודן אבוי דרבי יודה אבוי דרבי מתניה(1399),רבי יודן אבוי דרבי מתניה(1400)
רבי יהודה בן גמדא איש כפר עכו(1431),רבי יהודה בן אגרא(1409)
רבי יהודה בן חגרא(1440),רבי יהודה בן אגרא(1409)
רב יהודה בר אביי(1408),רבי יהודה בר אמי(1416)
רב יהודה בר אשי(1417),רבי יהודה בר אמי(1416)
רבי יהודה בן פתירא(1479),רבי יהודה בן בתירא(1423)
רבי יודן בר גדיא(1426),רבי יודן בר גירייא(1430)
רבי יודן גיריא(1498),רבי יודן בר גירייא(1430)
