Secondary Name,Primary Name
רב המנונא בריה דרב יוסף(979),רב נחמיה בריה דרב יוסף(2277)
רב המנונא בריה דרבא מפשרוניא(980),רב חיננא בריה דרבא מפשרוניא(1277)
בית הצריפה(984),צפנת בת פניאל כהן גדול(2551)
וסטיני(986),רבי יוסטא(1648)
ורדימוס ברבי יוסי(987),רבי מנחם ברבי יוסי(2111)
רבי זבדיה חתניה דרבי לוי(991),רבי זכריה חתניה דרבי לוי(1033)
זונין הממונה(1011),רבי זינון החזן(1016)
רבי זירא בר אדא(1019),רבי חייא בר אבא(1091)
רבי זעירא בר אבינא(1041),רבי זירא(1017)
רב חביבא בריה דרבא(1054),רב אחא בריה דרבא(297)
חוניא(1067),נחונייה בן יוסף בן פכסס(2264)
חוניו(1071),נחוניון(2263)
חזקיה בן אטיטס(1079),בן אטיטס(626)
רבי חזקיה בר יעקב בר אחא(1081),רבי חזקיה(1076)
רבי חזקיה בר ירמיה(1082),רבי חזקיה(1076)
רבי חייא בריה דרבי אבא דיפו(1092),רבי חייא בריה דרבי אדא דיפו(1097)
רב חייא בריה דרב איקא(1100),רב חייא בריה דרב אויא(1098)
רבי חייא בר גוריא(1104),רב חמא בר גוריא(1175)
רב חייא בריה דרב חייא בר נחמני(1109),רב חייא בריה דרבה בר נחמני(1129)
רב חייא בר יהודה(1112),רב שמואל בר יהודה(2788)
רב חייא בר רב מתנה(1119),חייא בר רב(1127)
רבי חייא בר רבי(1130),רבי חייא רובה(1088)
רב חייא קטוספאה(1137),רבה בר חייא קטוספאה(2598)
רבי חילפיי(1140),אילפא(371)
חיפא(1144),עיפה(2443)
חכיניי(1145),עכנאי(2444)
רבי חלבו בר חנן(1147),רבי חלבו(1146)
אבא חליפא קרויא(1148),אבא חלפי בן קרויא(1151)
רבי חלפתא קיסרייה(1157),רבי תחליפא קיסריא(2961)
רבי חמא אבי בר קפרא(1166),רבי חמא בר ביסא(1173)
רבי חמא אבוה דרבי הושעיא(1167),רבי חמא בר ביסא(1173)
רב חמא בר אשי(1171),רב חייא בר אשי(1102)
רב חמא בר פפא(1180),רבי חנינא בר פפא(1275)
רבי חמא דכפר תחומין(1182),רבי יודן בריה דרבי חמא דכפר תחמין(1442)
רב חנה בר אבא(1188),רבה בר חנה(2600)
רב חנא בר אחא(1190),רבין בר רב אדא(143)
חנא בר איסק(1191),מרי בר איסק(2178)
רב חנא בר חיננא(1193),רב חנא בר קטינא(1197)
רב חנא בר יהודה(1195),רב הונא בר יהודה(917)
רבי חנא ציפוראה(1200),רבי חונה רבה דציפורין(947)
רבי חנא שאינה(1202),רבי חנא בר שאינה(1198)
אבא חנון(1204),אבא חנין(1301)
רבי חנילאי בר חנילאי(1207),רבי תנחום בר חנילאי(2980)
רב חנניה אחוי דרב הושעיה(1217),רב חנניה בר אחוי דרב הושעיה(1228)
רב חיננא בר אביי(1224),רב חנינא בר אבין(1225)
חנניה בן אחי יאשיה(1229),חנניה בן אחי רבי יהושע(1230)
רב חיננא בר ביסנא(1240),רבי יצחק בר ביסנא(1903)
רבי חנינה בן ברוקה(1241),רבי חנינא בר יקא(1259)
רב חננא בר חייא(1246),רב הונא בר חייא(911)
רב חיננא בריה דרבי יהושע(1253),רב הונא בריה דרב יהושע(918)
רבי חנינא בר יוסף(1255),רבי חמא בר יוסי(1178)
רבי חנניה בריה דרבי יסא(1256),רבי חיננא בריה דרבי אסי(1238)
רבי חנינה בן יעקב(1257),רבי חנינא בן עקיבא(1272)
רבי חנינא בריה דרבי כהיי(1260),רבי חננה בריה דרבי כיריי(1263)
רבי חנניה בן כינאי(1262),רבי חנניה בן חכינאי(1247)
רבי חנניה בן נכוסא(1265),רבי חנניה בן חלניסי(1248)
