ID, Link ID, Concatenated Name
22435,0,רבי יעקב איש כפר חיטייה
20102,0,אבהו בריה דר''ז
21377,0,רבה בר יוסף בר חמא
20213,0,אסי בר נתן
22853,0,רבי שמעון בר' יונה
21874,0,רבי חייא בר פא
22437,0,רבי יעקב בן דסיי
21767,0,רבי דוסא בן הרכנים
20819,0,רב אידי בר גרשום
22301,0,רבי יוחנן זפרא דגופתא
21766,0,רבי דוסא בן הורכניס
21224,0,רב עוקבא בר חיננא פסחים
22177,0,רבי יהודה נשיאה בן רבן גמליאל בנו של רבי
21589,0,רבי איעאי בר מנחם
20753,0,רב אדא ברב עזא
20370,0,הלל אבוה דר' זעירא
20706,0,עקביה בן מהללאל
22167,0,רבי יהודה בריה דרבי שמעון
20769,0,רב אחא בר חנינא
20478,0,יהודה בנו של רבי חייא
21730,0,רבי בירים
22976,0,שמואל בר רב יצחק
20739,0,רב אבא בר תחליפא
20993,0,רב חמא מנהרדעא
22848,0,רבי שמעון בר סני
21803,0,רבי זבדי חתניה דר' לוי
22308,0,רבי יונה בר צדייה
22837,0,רבי שמעון בר אמי
21841,1060,רבי חידקא
22607,0,רבי לוליאני בר טבריני
20015,0,אבא בר אבהו
21689,0,רבי אסי בן שאול
22244,0,רבי יודן בר פילה
22641,2075,רבי מני
20951,1088,רב חייא
20583,0,לולינום דרומיה
20884,0,רב הונא בר אדא
22835,0,רבי שמעון בר אבודמא
20448,0,חנניה בן חזקיה בן גרון
20068,0,אבא יוסי בר חנן
22797,0,רבי שמואל בר יעקב
20387,0,זכריה בן ברכיה
21838,0,רבי חזקיה בר יעקוב בר אחא
21139,0,רב ירמיה מדפתי
22193,0,רבי יהושע בן כפוסאי
22010,0,רבי חנינא בריה דר' אבא
22143,0,רבי יהודה בר סימון
21441,0,רבי אבא בר ימינא
22123,0,רבי יהודה בר גרוגרות
22859,0,רבי שמעון ברבי יוסי
21189,0,רב נחוניא
21333,0,רבא בר עילאי
21622,0,רבי אלעזר בן דמא בן אחותו של רבי ישמעאל
21104,0,רב ייבר בריה שיזבי
22237,0,רבי יודן בר חלפיי
21620,0,רבי אלעזר בן דולגאי
20883,0,רב הונא בר אבא
20234,0,בינימין בר חייא
20460,0,טוביה בר יציק
20256,0,בן המדורי
21850,0,רבי חייא בר אמי משמיה
20152,0,אחוו בריה דר' זירא
21507,0,רבי אבונה בר שילא
22357,0,רבי יוסי בן תחליפא
22475,0,רבי יעקב מנהר פקוד
21566,0,רבי אחייא בר אבא
21362,0,רבא מפשרוניא
22686,0,רבי נתן בן המשולם
21216,0,רב סמא בריה חילקאי
20970,0,רב חיננא בריה דרב איקא
21760,0,רבי גמליאל בר אבינא
21464,0,רבי אבא דמן יפו
20787,0,רב אחא ברבי יעקב
20030,0,אבא בר חנינא עירובין
20241,0,בית נתזה
20610,0,מר בריה דרב סמא בר רב אשי
20838,0,רב אמי בר חייא
21465,0,רבי אבא דמן קיסרי
21665,0,רבי אלעזר הקפר בריבי
21538,0,רבי אויא
20580,0,לוי הסרד
22980,0,שמעון אחי אמו דר' טרפון
20837,0,רב אמי בר דיקולי
21934,0,רבי חלפתא בן קוינא
22824,0,רבי שמעון בן חנניה
22846,0,רבי שמעון בר נזירא
21551,0,רבי אחא בר זעירא
21022,0,רב חנן בר אדא
